time,id,angle
2019-08-03 06:59:59,20,2
2019-08-03 07:00:01,63,1
2019-08-03 07:00:01,60,1
2019-08-03 07:01:59,63,2
2019-08-03 07:04:01,63,1
2019-08-03 07:05:59,63,2
2019-08-03 07:33:59,12,2
2019-08-03 07:59:59,64,2
2019-08-03 07:59:59,17,2
2019-08-03 08:00:00,20,1
2019-08-03 08:00:01,61,1
2019-08-03 08:01:59,61,2
2019-08-03 08:02:00,17,1
2019-08-03 08:02:01,12,1
2019-08-03 08:03:59,17,2
2019-08-03 08:04:18,61,1
2019-08-03 08:05:59,61,2
2019-08-03 08:06:00,17,1
2019-08-03 08:07:59,17,2
2019-08-03 08:10:00,17,1
2019-08-03 08:59:59,60,2
2019-08-03 08:59:59,20,2
2019-08-03 09:08:01,63,1
2019-08-03 09:08:18,61,1
2019-08-03 09:11:59,63,2
2019-08-03 09:33:59,13,2
2019-08-03 09:36:01,13,1
2019-08-03 10:00:00,20,1
2019-08-03 10:33:59,15,2
2019-08-03 10:36:01,15,1
2019-08-03 10:37:59,15,2
2019-08-03 10:40:01,15,1
2019-08-03 10:59:18,60,1
2019-08-03 10:59:59,20,2
